Datetime,Open,High,Low,Close,Volume
2023-04-11 12:00:00+00:00,212.1053009033203,212.1053009033203,208.82000732421875,209.76499938964844,515999
2023-04-11 16:00:00+00:00,209.7949981689453,210.83999633789062,209.1300048828125,209.97999572753906,1018532
2023-04-12 12:00:00+00:00,212.0,213.6678924560547,209.7899932861328,211.58999633789062,933900
2023-04-12 16:00:00+00:00,211.57510375976562,212.0399932861328,207.69000244140625,207.99000549316406,500465
2023-04-13 12:00:00+00:00,204.47999572753906,212.73910522460938,204.1280975341797,212.6199951171875,1035061
2023-04-13 16:00:00+00:00,212.67999267578125,212.97999572753906,210.2100067138672,211.2899932861328,732214
2023-04-14 12:00:00+00:00,211.32000732421875,211.8300018310547,205.47999572753906,206.23500061035156,591649
2023-04-14 16:00:00+00:00,206.31500244140625,208.64990234375,205.80999755859375,208.38999938964844,507721
2023-04-17 12:00:00+00:00,208.1999969482422,221.8800048828125,208.00999450683594,219.5399932861328,1729301
2023-04-17 16:00:00+00:00,219.47500610351562,220.13999938964844,216.91000366210938,218.8000030517578,1061956
2023-04-18 12:00:00+00:00,216.7899932861328,220.23150634765625,215.32000732421875,218.38999938964844,902119
2023-04-18 16:00:00+00:00,218.4149932861328,219.80999755859375,216.2899932861328,219.47999572753906,557221
2023-04-19 12:00:00+00:00,217.64999389648438,220.32989501953125,215.67999267578125,215.89999389648438,957730
2023-04-19 16:00:00+00:00,215.9499969482422,218.32000732421875,215.60000610351562,218.1999969482422,490176
2023-04-20 12:00:00+00:00,213.33999633789062,217.52999877929688,212.3300018310547,216.07000732421875,678243
2023-04-20 16:00:00+00:00,216.14999389648438,218.00999450683594,214.39999389648438,215.60000610351562,558840
2023-04-21 12:00:00+00:00,214.52999877929688,217.6999969482422,213.2100067138672,217.47000122070312,384551
2023-04-21 16:00:00+00:00,217.47500610351562,218.74000549316406,216.75999450683594,216.8800048828125,576059
2023-04-24 12:00:00+00:00,209.50999450683594,210.0,201.23109436035156,206.1199951171875,2543604
2023-04-24 16:00:00+00:00,206.17999267578125,210.5,206.11000061035156,209.89999389648438,1321453
2023-04-25 12:00:00+00:00,207.5,209.4499053955078,204.7100067138672,208.13999938964844,1037489
2023-04-25 16:00:00+00:00,207.7449951171875,210.6699981689453,207.39500427246094,210.55999755859375,885121
2023-04-26 12:00:00+00:00,205.00999450683594,205.2899932861328,197.3000030517578,203.60989379882812,1838532
2023-04-26 16:00:00+00:00,203.5,203.6699981689453,198.02999877929688,199.5500030517578,1243647
2023-04-27 12:00:00+00:00,200.58999633789062,203.6313018798828,198.6300048828125,202.69000244140625,915105
2023-04-27 16:00:00+00:00,202.72999572753906,202.92999267578125,199.69000244140625,200.80999755859375,1221718
2023-04-28 12:00:00+00:00,184.67999267578125,184.97000122070312,170.5500946044922,174.5,5962693
2023-04-28 16:00:00+00:00,174.61000061035156,183.1999969482422,174.22000122070312,182.5800018310547,4089586
2023-05-01 12:00:00+00:00,182.5800018310547,188.2449951171875,180.67979431152344,183.09500122070312,1790336
2023-05-01 16:00:00+00:00,183.0511016845703,183.59100341796875,178.75999450683594,180.85000610351562,2057708
2023-05-02 12:00:00+00:00,180.44000244140625,182.02000427246094,174.6300048828125,175.2100067138672,1316735
2023-05-02 16:00:00+00:00,175.16000366210938,176.6999969482422,174.52000427246094,176.39999389648438,1091162
2023-05-03 12:00:00+00:00,176.44000244140625,178.07000732421875,174.1699981689453,175.10499572753906,619711
2023-05-03 16:00:00+00:00,175.05999755859375,176.77999877929688,173.91000366210938,174.36000061035156,722527
